TR_PL,HH07,HH08,HH09,HH10,HH15,HV07,HV08,HV09,HV10,HV15,T_HA_50x50
transect5-plot5-E,-8.057044,-7.574446,-4.546573,-7.8030725,-7.6097107,-12.391591,-12.224417,-11.267925,-12.745537,-12.62615,165.870716
transect5-plot5-E,-8.105883,-7.8525896,-7.345971,-7.4419274,-6.7645044,-12.668616,-12.051894,-11.750874,-13.310657,-12.615162,165.870716
transect5-plot5-E,-8.137078,-6.973498,-6.739345,-7.3746076,-7.234511,-12.528418,-11.610407,-11.376563,-13.301172,-13.1689825,165.870716
transect5-plot5-E,-8.330526,-7.178374,-7.3896947,-7.7178726,-7.5708838,-12.233467,-11.791875,-11.684161,-13.81569,-12.444776,165.870716
transect5-plot5-D,-7.2564926,-6.9662943,-6.997741,-7.48727,-7.9124074,-12.23543,-11.042571,-11.726224,-13.219515,-12.348399,215.928756
transect5-plot5-D,-6.7609873,-7.342181,-7.1104264,-6.8302,-7.7132764,-12.375348,-11.737597,-11.184753,-12.561814,-13.099424,215.928756
transect5-plot5-D,-7.0859804,-6.829519,-7.2046633,-7.6143675,-6.808758,-12.584123,-12.077514,-12.027263,-14.6720295,-12.265483,215.928756
transect5-plot5-G,-6.9553127,-8.428429,-6.785002,-7.435526,-6.2856092,-12.760564,-11.335063,-11.196945,-13.006391,-12.518758,167.029316
transect5-plot5-G,-5.3332963,-7.0147743,-7.470488,-6.307117,-6.145899,-12.017754,-11.69285,-12.202442,-12.274767,-12.7641,167.029316
transect5-plot5-G,-6.92179,-7.9775333,-6.735892,-8.286953,-6.6491218,-12.514674,-12.02641,-11.1795,-12.616299,-12.0550785,167.029316
transect5-plot5-G,-5.217549,-7.5261493,-6.979532,-6.7611403,-6.6996465,-11.730293,-11.821423,-11.174186,-12.547066,-14.471676,167.029316
transect5-plot5-F,-7.705859,-8.240145,-7.01528,-7.219963,-6.9590464,-13.130618,-11.584752,-11.952557,-13.058726,-12.327769,201.36621
transect5-plot5-F,-7.7375927,-8.225738,-7.9026575,-7.4015236,-7.079824,-13.500626,-12.646137,-11.732789,-13.402505,-12.960193,201.36621
transect5-plot5-F,-6.8668737,-6.9322777,-7.7691064,-7.0620823,-6.924016,-13.1198435,-11.758166,-11.926118,-13.114085,-12.946334,201.36621
transect5-plot5-F,-4.9524484,-6.72295,-7.6029067,-8.966949,-8.755303,-13.105495,-12.051404,-12.570245,-13.538185,-13.015294,201.36621
transect4-plot5-F,-5.8493123,-6.681997,-5.046422,-8.279221,-6.7926636,-11.940352,-10.835333,-11.372278,-12.096468,-11.752282,272.279167
transect4-plot5-F,-6.0287943,-5.086975,-5.750488,-7.804043,-5.620266,-11.817793,-11.564002,-8.862592,-11.278337,-11.658592,272.279167
transect4-plot5-F,-6.348188,-5.793546,-5.549288,-7.9056754,-5.6828856,-11.53516,-10.943661,-9.65419,-11.549482,-11.58407,272.279167
transect4-plot5-G,-8.537098,-6.9073505,-6.569295,-8.601318,-7.5254006,-12.070212,-12.548016,-11.708349,-12.338544,-12.722915,190.522605
transect4-plot5-G,-7.8134,-5.6643395,-5.9876933,-8.013754,-6.3947906,-11.960555,-12.403555,-11.030713,-12.188674,-10.47093,190.522605
transect4-plot5-E,-8.307748,-6.3767924,-7.9243245,-7.807224,-7.1739035,-11.82137,-12.365312,-11.958027,-13.080319,-10.73787,287.878769
transect4-plot5-E,-8.678213,-6.6573234,-5.2218146,-7.624367,-7.396771,-11.771464,-12.830629,-11.679371,-12.713923,-12.226,287.878769
transect4-plot5-E,-9.003752,-6.6761785,-4.7301016,-7.504952,-7.5318985,-11.909982,-10.682965,-11.474965,-12.952346,-11.814353,287.878769
transect4-plot5-E,-6.3470654,-6.13994,-5.0072613,-8.699049,-7.8359337,-11.615228,-12.218603,-11.779484,-11.4963255,-11.581974,287.878769
transect4-plot5-D,-7.869548,-7.485277,-7.599736,-7.4738545,-7.2960477,-11.917295,-12.339673,-11.966228,-12.963793,-9.463315,317.723287
transect4-plot5-D,-8.449476,-6.361686,-7.45048,-7.02705,-8.3100395,-12.288691,-11.924987,-12.261066,-12.198587,-12.090588,317.723287
transect4-plot5-D,-7.8900166,-6.855305,-6.940804,-7.067841,-7.2260084,-11.917241,-12.290913,-12.003641,-12.342868,-12.342636,317.723287
transect4-plot5-D,-8.051209,-7.8800664,-5.136943,-7.427513,-7.411891,-11.313534,-12.466781,-11.957567,-12.94199,-12.543932,317.723287
transect4-plot5-D,-8.143726,-7.132222,-5.039447,-7.821262,-7.417065,-11.517555,-12.419647,-11.451627,-12.831161,-12.084601,317.723287
